cpa,prob_f0,prob_f1,prob_f2,prob_f3,prob_f4
20.8,7.434944237918215e-4,0,0,0.33011152416356876,0.6691449814126395
20.9,0,0,0.0016891891891891893,0.3589527027027027,0.6393581081081081
21,8.223684210526315e-4,8.223684210526315e-4,8.223684210526315e-4,0.3536184210526316,0.6439144736842105
21.1,0,8.123476848090983e-4,8.123476848090983e-4,0.3281884646628757,0.670186839967506
21.2,8.503401360544217e-4,0,0,0.3197278911564626,0.6794217687074829
21.3,0,0,8.873114463176575e-4,0.32919254658385094,0.6699201419698314
21.4,0,0,9.182736455463728e-4,0.32598714416896235,0.6730945821854912
21.5,0,0,9.643201542912247e-4,0.3018322082931533,0.6972034715525555
21.6,0,0,0.001936108422071636,0.3165537270087125,0.6815101645692159
21.7,0,0,9.794319294809011e-4,0.3095004897159647,0.6895200783545543
21.8,0,0,0,0.2925764192139738,0.7074235807860262
21.9,0,0.001081081081081081,0,0.29621621621621624,0.7027027027027027
22,0,0,0,0.2891832229580574,0.7108167770419426
22.1,0,0.0011441647597254005,0.003432494279176201,0.32036613272311215,0.6750572082379863
22.2,0,0,0.0024449877750611247,0.2823960880195599,0.715158924205379
22.3,0,0,0,0.2791519434628975,0.7208480565371025
22.4,0,0,0,0.26380368098159507,0.7361963190184049
22.5,0,0,0,0.28903225806451616,0.7109677419354838
22.6,0,0,0,0.2578444747612551,0.7421555252387448
22.7,0,0,0,0.29218106995884774,0.7078189300411523
22.8,0,0,0,0.2773722627737226,0.7226277372262774
22.9,0,0,0,0.2820143884892086,0.7179856115107913
23,0,0,0,0.2528548123980424,0.7471451876019576
23.1,0,0,0,0.27856025039123633,0.7214397496087637
23.2,0,0,0,0.2526690391459075,0.7473309608540926
23.3,0,0,0,0.2508532423208191,0.7491467576791809
23.4,0,0,0,0.24338624338624337,0.7566137566137566
23.5,0,0,0.0019011406844106464,0.24524714828897337,0.752851711026616
23.6,0,0,0.0017985611510791368,0.25539568345323743,0.7428057553956835
23.7,0.002109704641350211,0,0.002109704641350211,0.25949367088607594,0.7362869198312236
23.8,0,0,0,0.23161764705882354,0.7683823529411765
23.9,0,0,0,0.20809248554913296,0.791907514450867
24,0,0,0,0.23515981735159816,0.7648401826484018
24.1,0.002380952380952381,0,0,0.24047619047619048,0.7571428571428571
24.2,0,0,0,0.22849462365591397,0.771505376344086
24.3,0,0,0,0.24378109452736318,0.7562189054726368
24.4,0,0,0,0.24449877750611246,0.7555012224938875
24.5,0,0,0,0.2704225352112676,0.7295774647887324
24.6,0,0,0,0.19811320754716982,0.8018867924528302
24.7,0,0,0,0.25617283950617287,0.7438271604938271
24.8,0,0,0,0.2087227414330218,0.7912772585669782
24.9,0,0,0,0.21241830065359477,0.7875816993464052
25,0,0,0,0.23711340206185566,0.7628865979381443
25.1,0,0,0,0.2490272373540856,0.7509727626459144
25.2,0,0,0,0.20363636363636364,0.7963636363636364
25.3,0,0,0,0.25609756097560976,0.7439024390243902
25.4,0,0,0,0.2577777777777778,0.7422222222222222
25.5,0,0,0,0.2608695652173913,0.7391304347826086
25.6,0,0,0,0.20276497695852536,0.7972350230414746
25.7,0,0,0,0.20725388601036268,0.7927461139896373
25.8,0,0,0,0.24731182795698925,0.7526881720430108
25.9,0,0,0,0.18848167539267016,0.8115183246073299
26,0,0,0,0.23809523809523808,0.7619047619047619
26.1,0,0,0,0.16184971098265896,0.838150289017341
